cleaned_name,adjusted_loc_col
The region surrounding Tullyrossmearan is known for its natural beauty.,"[(23, 38, 'LOC')]"
Many people visit Mourne Beg River every year for its scenic views.,"[(18, 34, 'LOC')]"
Hiking enthusiasts often explore the area around Lough Macnean Upper.,"[(49, 68, 'LOC')]"
The peaceful surroundings of River Foyle make it a great place for a getaway.,"[(29, 40, 'LOC')]"
Hiking enthusiasts often explore the area around River Erne.,"[(49, 59, 'LOC')]"
Dromore Lough has a rich history and is well-known among locals.,"[(0, 13, 'LOC')]"
Dromore Head has a rich history and is well-known among locals.,"[(0, 12, 'LOC')]"
Cliff has a rich history and is well-known among locals.,"[(0, 5, 'LOC')]"
Many people visit Claddagh River every year for its scenic views.,"[(18, 32, 'LOC')]"
Buncrana is a popular tourist destination.,"[(0, 8, 'LOC')]"
The peaceful surroundings of Dromore West make it a great place for a getaway.,"[(29, 41, 'LOC')]"
Dromore House has a rich history and is well-known among locals.,"[(0, 13, 'LOC')]"
The peaceful surroundings of Youghal Harbour make it a great place for a getaway.,"[(29, 44, 'LOC')]"
Youghal Bay is a popular tourist destination.,"[(0, 11, 'LOC')]"
Youghal has a rich history and is well-known among locals.,"[(0, 7, 'LOC')]"
Many people visit Yellow River every year for its scenic views.,"[(18, 30, 'LOC')]"
Yellow Furze is a popular tourist destination.,"[(0, 12, 'LOC')]"
The region surrounding Woodville is known for its natural beauty.,"[(23, 32, 'LOC')]"
Hiking enthusiasts often explore the area around Wood View.,"[(49, 58, 'LOC')]"
Woodtown West is a popular tourist destination.,"[(0, 13, 'LOC')]"
Woodstown has a rich history and is well-known among locals.,"[(0, 9, 'LOC')]"
The region surrounding Woodstock House is known for its natural beauty.,"[(23, 38, 'LOC')]"
Woodsgift House has a rich history and is well-known among locals.,"[(0, 15, 'LOC')]"
The region surrounding Woodrooff House is known for its natural beauty.,"[(23, 38, 'LOC')]"
Many people visit Woodpark every year for its scenic views.,"[(18, 26, 'LOC')]"
The region surrounding Woodmount is known for its natural beauty.,"[(23, 32, 'LOC')]"
Wood Lodge is a popular tourist destination.,"[(0, 10, 'LOC')]"
Many people visit Woodlawn Station every year for its scenic views.,"[(18, 34, 'LOC')]"
The region surrounding Woodlawn is known for its natural beauty.,"[(23, 31, 'LOC')]"
Woodlands Station is a popular tourist destination.,"[(0, 17, 'LOC')]"
Woodhouse has a rich history and is well-known among locals.,"[(0, 9, 'LOC')]"
Wood Hill has a rich history and is well-known among locals.,"[(0, 9, 'LOC')]"
Hiking enthusiasts often explore the area around Woodfort.,"[(49, 57, 'LOC')]"
The region surrounding Woodford River is known for its natural beauty.,"[(23, 37, 'LOC')]"
Woodford has a rich history and is well-known among locals.,"[(0, 8, 'LOC')]"
The region surrounding Woodfield House is known for its natural beauty.,"[(23, 38, 'LOC')]"
Woodenbridge Junction Station has a rich history and is well-known among locals.,"[(0, 29, 'LOC')]"
Hiking enthusiasts often explore the area around Woodenbridge.,"[(49, 61, 'LOC')]"
Hiking enthusiasts often explore the area around Woodbrook House.,"[(49, 64, 'LOC')]"
Woodbrook is a popular tourist destination.,"[(0, 9, 'LOC')]"
Hiking enthusiasts often explore the area around Woodbine Hill.,"[(49, 62, 'LOC')]"
The peaceful surroundings of Wingfield House make it a great place for a getaway.,"[(29, 44, 'LOC')]"
The peaceful surroundings of Windy Harbour make it a great place for a getaway.,"[(29, 42, 'LOC')]"
Windy Gap has a rich history and is well-known among locals.,"[(0, 9, 'LOC')]"
The region surrounding Windgap is known for its natural beauty.,"[(23, 30, 'LOC')]"
The region surrounding Windfield House is known for its natural beauty.,"[(23, 38, 'LOC')]"
Many people visit Wilton House every year for its scenic views.,"[(18, 30, 'LOC')]"
Wilton Castle is a popular tourist destination.,"[(0, 13, 'LOC')]"
